ISO3,country,adm1_name,adm2_name,mkt_name,lat,lon,geo_id,price_date,year,month,currency,o_beans,h_beans,l_beans,c_beans,inflation_beans,trust_beans,o_cabbage,h_cabbage,l_cabbage,c_cabbage,inflation_cabbage,trust_cabbage,o_carrots,h_carrots,l_carrots,c_carrots,inflation_carrots,trust_carrots,o_eggs,h_eggs,l_eggs,c_eggs,inflation_eggs,trust_eggs,o_meat_beef_chops,h_meat_beef_chops,l_meat_beef_chops,c_meat_beef_chops,inflation_meat_beef_chops,trust_meat_beef_chops,o_meat_chicken_whole,h_meat_chicken_whole,l_meat_chicken_whole,c_meat_chicken_whole,inflation_meat_chicken_whole,trust_meat_chicken_whole,o_meat_pork,h_meat_pork,l_meat_pork,c_meat_pork,inflation_meat_pork,trust_meat_pork,o_onions,h_onions,l_onions,c_onions,inflation_onions,trust_onions,o_potatoes,h_potatoes,l_potatoes,c_potatoes,inflation_potatoes,trust_potatoes,o_rice,h_rice,l_rice,c_rice,inflation_rice,trust_rice,o_tomatoes,h_tomatoes,l_tomatoes,c_tomatoes,inflation_tomatoes,trust_tomatoes,o_dish_soap,h_dish_soap,l_dish_soap,c_dish_soap,inflation_dish_soap,trust_dish_soap,o_soap,h_soap,l_soap,c_soap,inflation_soap,trust_soap,o_shampoo,h_shampoo,l_shampoo,c_shampoo,inflation_shampoo,trust_shampoo,o_bleach,h_bleach,l_bleach,c_bleach,inflation_bleach,trust_bleach,o_detergent,h_detergent,l_detergent,c_detergent,inflation_detergent,trust_detergent,o_fabric_softeners,h_fabric_softeners,l_fabric_softeners,c_fabric_softeners,inflation_fabric_softeners,trust_fabric_softeners,o_toothpaste,h_toothpaste,l_toothpaste,c_toothpaste,inflation_toothpaste,trust_toothpaste,o_deodorant,h_deodorant,l_deodorant,c_deodorant,inflation_deodorant,trust_deodorant,o_toilet_paper,h_toilet_paper,l_toilet_paper,c_toilet_paper,inflation_toilet_paper,trust_toilet_paper,components,PHL,Philippines,Region XI,Davao del Norte,Davao del Norte.1,7.45,125.8,gid_745000001258000000,01/01/2008,2008,1,PHP,36.89,38.18,35.73,37.48,3.98,9.26,25.54,26.07,25.1,25.49,0.84,9.03,46.99,46.79,46.12,46.13,1.99,9.41,163.66,165.77,153.67,161.64,0.93,8.49,162.44,165.6,153.9,161.41,1.5,8.07,175.04,182.88,172.1,178.04,1.77,9.05,110.79,113.84,107.25,112.12,3.12,9.65,78.17,79.85,76.83,77.9,3.63,9.44,42.48,43.48,40.55,42.14,2.37,9.94,50.02,52.61,50.27,50.64,1.82,9.74,82.49,85.99,82.24,83.98,1.66,9.48,84.12,83.95,81.04,83.05,3.81,8.42,47.43,47.89,45.09,47.3,0.54,9.5,101.35,100.31,97.47,99.47,1.31,9.27,73.99,78.24,71.38,74.79,0.71,9.36,111.78,113.44,110.46,111.12,1.9,9.73,103.51,108.14,102.66,104.6,0.9,9.76,71.12,72.78,71.25,71.65,3.87,9.78,76.93,76.98,73.4,76.43,1.36,8.97,29.91,30.18,29.83,29.93,2.14,8.94,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)"
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,10/10/2007,2007.0,10.0,PHP,38.1,40.18,37.52,38.65,2.3,10.0,32.34,33.0,31.57,33.0,1.66,8.96,33.93,33.39,32.09,33.31,3.39,9.61,130.34,138.68,130.87,132.98,1.25,8.89,135.0,139.08,135.56,136.99,1.04,9.58,92.04,92.95,88.13,90.9,1.82,8.86,154.02,161.34,154.41,156.67,2.22,9.61,48.92,51.1,48.18,49.66,0.82,8.12,43.27,45.27,42.89,44.11,2.76,8.55,75.63,78.18,72.72,74.77,0.85,8.49,75.34,78.1,74.92,76.62,1.28,9.81,78.73,80.29,79.18,79.75,0.86,8.11,50.01,52.5,50.29,50.72,0.51,8.41,82.13,84.2,83.3,83.31,2.58,8.47,72.85,72.89,70.89,72.55,3.78,8.64,107.01,109.58,104.05,105.7,1.71,9.61,105.45,108.38,103.45,105.46,0.91,9.03,75.31,74.61,72.97,74.56,2.8,9.48,78.67,82.85,76.87,80.1,-0.5,8.94,34.94,35.28,34.92,35.0,1.81,9.03,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,11/11/2007,2007.0,11.0,PHP,35.53,36.06,34.81,36.03,2.1,8.61,36.59,37.19,35.51,37.0,1.5,9.13,39.67,41.03,37.22,39.14,1.71,9.74,150.61,156.26,146.66,151.23,1.35,8.48,127.89,132.96,126.36,129.32,2.65,9.97,134.82,138.68,127.06,132.74,3.73,9.55,147.44,152.94,140.08,147.11,1.72,9.18,44.01,44.5,41.73,43.15,1.22,9.25,44.06,43.82,42.72,43.7,3.4,9.18,52.98,55.84,53.25,53.76,2.32,9.43,66.48,67.59,64.36,65.98,2.44,9.07,81.89,84.96,81.12,82.46,-0.37,8.32,53.35,55.74,51.85,54.01,1.09,9.62,129.04,134.35,127.59,129.92,2.5,8.69,85.66,88.51,82.35,85.45,1.72,9.34,87.62,87.57,85.01,86.78,1.04,8.85,88.37,92.16,85.57,88.97,3.15,9.26,73.04,76.33,73.49,73.73,1.38,8.25,88.12,88.5,86.19,88.31,1.82,8.54,44.21,45.37,41.94,43.82,2.25,9.13,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,12/12/2007,2007.0,12.0,PHP,43.28,43.52,41.99,42.64,0.62,8.65,25.82,26.67,25.4,26.34,0.14,8.91,29.75,30.04,28.18,29.53,2.38,9.65,131.6,135.39,129.19,131.08,4.82,8.56,146.86,150.38,140.36,146.22,-0.66,9.53,128.41,129.47,124.61,128.3,2.19,8.59,120.23,123.15,116.7,118.02,0.94,9.1,68.72,69.17,65.33,68.15,2.88,9.89,45.34,46.72,44.41,44.87,1.64,9.97,64.22,66.07,61.84,63.29,1.78,9.58,58.23,58.21,55.87,57.93,5.25,9.21,100.28,103.71,96.63,99.01,2.5,9.54,41.51,41.61,40.39,41.14,3.38,9.46,99.4,103.7,95.92,100.84,0.34,8.38,75.32,76.2,73.46,74.71,-1.34,9.34,129.99,134.4,129.85,131.47,2.5,8.01,103.78,107.42,102.25,105.67,2.07,9.86,74.47,77.59,74.09,75.26,2.14,8.48,92.23,93.58,90.6,90.71,3.29,9.67,46.27,46.92,45.51,46.21,2.49,9.08,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,01/01/2008,2008.0,1.0,PHP,36.89,38.18,35.73,37.48,3.98,9.26,25.54,26.07,25.1,25.49,0.84,9.03,46.99,46.79,46.12,46.13,1.99,9.41,163.66,165.77,153.67,161.64,0.93,8.49,162.44,165.6,153.9,161.41,1.5,8.07,175.04,182.88,172.1,178.04,1.77,9.05,110.79,113.84,107.25,112.12,3.12,9.65,78.17,79.85,76.83,77.9,3.63,9.44,42.48,43.48,40.55,42.14,2.37,9.94,50.02,52.61,50.27,50.64,1.82,9.74,82.49,85.99,82.24,83.98,1.66,9.48,84.12,83.95,81.04,83.05,3.81,8.42,47.43,47.89,45.09,47.3,0.54,9.5,101.35,100.31,97.47,99.47,1.31,9.27,73.99,78.24,71.38,74.79,0.71,9.36,111.78,113.44,110.46,111.12,1.9,9.73,103.51,108.14,102.66,104.6,0.9,9.76,71.12,72.78,71.25,71.65,3.87,9.78,76.93,76.98,73.4,76.43,1.36,8.97,29.91,30.18,29.83,29.93,2.14,8.94,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,02/02/2008,2008.0,2.0,PHP,49.06,50.28,47.73,48.23,1.05,8.52,33.51,34.01,32.05,33.02,2.19,9.26,39.05,38.64,37.22,38.44,3.38,9.74,184.33,195.4,187.18,187.69,1.79,9.55,239.11,249.72,230.24,239.25,-0.21,9.18,139.23,142.77,137.02,138.41,4.29,9.97,165.36,173.55,166.51,166.97,0.9,9.22,51.24,50.73,49.73,50.34,-0.19,8.48,48.8,49.52,47.78,48.3,2.4,9.74,58.63,59.18,57.37,58.6,-0.53,8.14,51.86,51.67,49.4,51.41,3.79,9.61,85.68,86.81,85.74,86.37,2.71,9.62,26.69,27.5,25.97,26.33,2.64,9.24,122.27,124.39,119.66,120.68,2.74,8.65,79.06,79.75,75.67,77.68,0.7,8.97,80.83,84.21,76.78,80.66,1.0,8.38,78.05,82.46,77.4,78.58,3.09,8.45,65.92,67.65,64.98,67.07,1.83,9.87,78.13,77.91,75.64,76.82,2.02,9.51,36.55,37.83,34.47,36.21,2.67,9.83,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,03/03/2008,2008.0,3.0,PHP,38.83,39.05,38.03,38.27,-0.82,8.73,31.58,33.31,31.45,31.83,1.77,8.04,51.32,54.63,52.29,52.36,0.36,9.23,118.09,118.92,117.78,118.2,0.71,9.58,214.94,215.97,200.74,210.98,1.15,9.58,138.4,140.54,134.77,135.85,2.53,9.91,96.17,99.33,96.09,97.23,1.24,9.48,58.01,59.58,56.94,58.68,2.17,8.17,44.39,46.14,44.43,45.28,1.91,8.75,38.09,39.5,36.91,38.38,1.16,9.12,59.98,59.8,57.92,59.13,1.09,8.04,84.4,87.54,81.57,84.79,0.84,8.64,44.46,46.05,43.08,44.64,2.47,9.86,112.71,112.19,108.81,111.45,2.78,9.36,73.01,76.67,73.9,74.22,1.19,9.01,102.29,103.52,95.86,100.62,1.53,9.39,157.19,165.52,151.31,157.72,1.66,9.83,92.61,95.3,91.22,94.1,0.75,8.68,80.27,79.64,75.72,78.84,1.21,9.74,39.88,39.91,39.55,39.78,1.79,9.26,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,04/04/2008,2008.0,4.0,PHP,49.81,53.05,50.1,50.56,2.83,8.99,29.51,30.76,29.18,29.91,3.6,8.91,34.9,35.07,32.95,34.41,-0.61,9.28,147.91,152.71,142.22,149.64,2.79,9.01,142.66,147.6,138.23,144.56,2.46,8.61,148.19,156.06,142.74,148.64,2.93,8.82,169.72,175.64,167.94,172.07,2.18,8.46,61.18,63.35,60.07,60.47,0.95,9.55,52.19,55.24,51.03,53.12,2.63,9.08,45.46,46.93,46.14,46.22,2.87,8.87,87.99,86.93,82.71,86.83,1.06,9.55,103.29,104.15,100.15,101.39,2.71,8.38,63.58,63.77,61.98,62.79,2.96,8.18,128.33,131.84,124.89,128.14,3.35,9.73,82.13,86.04,79.91,83.09,2.02,8.6,74.75,75.02,73.41,73.61,1.72,9.86,111.54,112.4,107.98,112.27,0.66,8.28,91.55,94.47,87.15,90.68,2.91,8.59,99.76,105.6,97.87,101.56,1.3,8.74,36.22,36.8,35.3,35.53,1.16,9.78,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,05/05/2008,2008.0,5.0,PHP,50.55,51.71,49.03,50.74,1.74,8.4,23.68,24.37,23.25,23.48,2.84,8.15,45.28,44.99,43.8,44.6,2.63,9.18,101.52,105.23,99.47,101.02,2.57,8.97,112.6,118.14,110.78,112.79,1.01,9.95,125.32,127.23,124.73,125.93,0.91,8.14,212.9,215.69,207.16,214.37,1.25,8.37,54.49,55.98,52.97,55.55,2.07,9.48,61.05,61.79,58.87,61.73,2.33,8.3,75.81,80.24,74.22,76.79,1.09,9.16,56.23,57.74,55.95,57.19,0.9,9.2,94.95,98.93,91.38,95.64,3.36,8.2,49.09,49.31,46.71,48.7,2.36,9.75,75.45,76.04,70.55,74.21,2.54,9.57,59.15,62.27,58.49,59.54,1.88,8.82,85.47,88.14,82.73,84.53,3.04,8.19,144.99,147.79,140.46,145.14,2.6,9.28,72.88,75.61,70.92,74.32,4.34,8.44,88.25,91.45,85.36,89.71,2.69,8.32,38.48,40.75,37.82,39.0,2.1,9.09,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,06/06/2008,2008.0,6.0,PHP,42.78,43.1,42.29,42.69,1.41,9.24,31.53,33.07,30.92,31.84,0.03,8.86,33.71,33.93,33.44,33.51,1.17,8.91,151.08,158.67,147.38,153.44,2.3,8.4,167.5,173.77,161.97,168.85,1.41,9.42,118.39,125.79,120.4,120.69,1.62,9.06,118.15,119.49,113.16,118.84,3.15,8.02,68.29,70.15,68.0,69.4,1.64,9.36,42.73,44.26,40.52,42.55,3.14,9.98,57.14,58.69,54.47,56.87,1.47,9.59,54.94,57.92,52.96,55.4,3.07,8.19,72.23,76.05,72.34,72.78,2.98,8.61,39.79,41.88,39.84,40.09,2.55,9.91,121.04,126.16,119.99,122.36,1.78,8.92,84.69,86.52,80.96,84.79,3.35,9.7,127.21,126.56,123.3,125.49,1.4,9.67,130.19,130.0,127.29,128.29,2.88,8.25,101.09,106.98,98.43,103.04,3.07,9.68,61.02,63.86,58.71,61.48,0.34,8.55,38.58,40.06,39.19,39.21,3.52,8.68,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,07/07/2008,2008.0,7.0,PHP,50.15,49.33,47.25,49.28,2.53,9.44,31.42,31.62,30.75,30.98,3.53,8.99,33.65,34.63,33.06,34.28,2.55,9.06,97.93,100.72,96.6,98.29,3.47,9.12,191.91,198.51,182.57,191.98,3.76,9.99,130.71,134.21,127.66,132.08,2.58,9.11,153.98,152.98,148.07,151.98,3.58,8.43,37.78,39.47,37.79,37.82,2.2,9.22,46.23,48.12,44.9,45.97,2.1,9.28,53.88,54.03,52.84,52.99,1.9,8.17,84.26,86.99,79.67,83.6,2.53,8.27,85.0,86.8,81.25,84.51,1.34,8.73,48.38,49.09,47.04,48.4,1.87,8.32,91.88,94.26,88.9,90.3,2.31,8.49,76.88,78.91,76.44,76.59,2.91,9.25,71.8,72.44,69.05,72.28,1.53,9.14,102.57,107.54,102.47,104.04,2.54,9.67,64.79,65.33,63.55,63.69,1.86,8.31,79.75,84.24,77.68,81.22,2.36,9.8,58.39,59.07,57.7,58.36,1.67,8.88,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines,Region XI,Davao del Norte,Davao del Norte,7.45,125.8,gid_745000001258000000,08/08/2008,2008.0,8.0,PHP,32.78,33.1,32.36,32.87,1.61,9.66,22.04,23.25,22.13,22.38,1.81,8.79,36.06,36.56,35.3,36.23,1.25,8.34,204.97,209.12,198.41,206.93,3.38,9.06,126.8,130.41,119.56,125.13,2.4,9.21,123.25,130.39,120.57,124.82,1.1,9.82,158.47,164.23,155.43,157.26,1.35,9.65,76.8,79.58,75.04,76.06,3.61,9.23,58.94,61.94,56.89,59.13,2.55,8.66,104.68,103.99,102.6,103.54,0.74,8.22,82.59,83.02,78.42,82.06,3.22,8.18,95.52,98.97,96.28,96.81,2.76,9.14,51.05,50.98,49.01,50.17,0.52,8.5,103.35,105.19,99.19,104.26,3.61,8.03,62.88,66.05,60.8,63.41,1.33,8.54,82.07,83.0,79.91,82.98,0.48,8.1,121.8,123.73,115.4,120.56,1.75,8.64,74.39,76.64,71.56,74.67,2.3,8.42,121.18,120.81,120.47,120.75,2.77,9.0,30.24,30.67,29.1,30.17,2.91,8.01,"beans (1 KG, Index Weight = 1), cabbage (1 KG, Index Weight = 1), carrots (1 KG, Index Weight = 1), eggs (1 Unit, Index Weight = 1), meat_beef_chops (1 KG, Index Weight = 1), meat_chicken_whole (1 KG, Index Weight = 1), meat_pork (1 KG, Index Weight = 1), onions (1 KG, Index Weight = 1), potatoes (1 KG, Index Weight = 1), rice (1 KG, Index Weight = 1), tomatoes (1 KG, Index Weight = 1), dish_soap (1 KG, Index Weight = 1), soap (1 KG, Index Weight = 1), shampoo (1 KG, Index Weight = 1), bleach (1 KG, Index Weight = 1), detergent (1 KG, Index Weight = 1), fabric_softeners (1 KG, Index Weight = 1), toothpaste (1 KG, Index Weight = 1), deodorant (1 KG, Index Weight = 1), toilet_paper (1 KG, Index Weight = 1)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
